BroodID,wing.offspring
1,16.037007672366
1,15.6510629436422
1,16.2771992895812
1,16.1429263748049
1,16.0949954224189
1,15.6750789647964
1,16.1103208057599
2,14.7042756235358
2,14.5697571672297
2,14.4140020459276
2,14.6676222975861
2,14.2319965961511
2,14.3000920663505
2,14.2891864763582
2,14.3071630529406
2,14.4803770242461
2,14.6218362847409
2,14.2633627343455
2,14.4064067430689
2,14.4708345448474
2,14.3279033391381
2,14.4755854919293
2,14.9483233251103
3,16.5459910322244
3,16.2052351014906
3,16.4418325851574
3,16.9415014800515
3,16.3142410991975
3,16.3398142116327
3,16.4579798561686
3,16.4170448318646
3,16.2796416040296
3,16.5893996645636
3,16.5708822018757
3,16.4972946570199
4,16.1311396461673
4,16.1512817228097
4,15.9802806383148
4,15.7143869813437
4,15.9807246353466
4,15.5498928910088
4,15.8141394393696
4,15.8887441375524
4,15.7977140209119
4,15.8230492626644
4,15.9644846227895
4,15.8874584667474
4,15.9185950030538
4,15.85781387739
4,15.6116650718128
5,15.7239823091124
5,15.8397658476026
5,15.8414481135696
5,15.6951120809481
5,15.224625877629
5,15.6220743027464
5,15.7162105278405
5,15.6210205476704
5,15.7572452679166
5,15.524605401987
5,15.6456672444321
5,15.6891214743025
5,15.7962234703842
6,15.8090218602994
6,15.9231778656464
6,16.2913175244408
6,16.1431621279884
6,16.2793784756468
6,16.2780757258483
6,16.0288237368471
6,16.0332800910293
6,16.164357510759
6,16.2683312272726
6,16.4120239382075
6,16.1215989468054
6,16.3122748007371
6,16.3574022284182
6,16.1642501849233
6,15.9366340685328
7,16.7007434602987
7,16.7424877299947
7,16.3367774945
7,16.1942815574052
7,16.510403159573
7,16.5144026825118
7,16.3906692525708
7,16.4980599559501
7,16.362160510283
7,16.6873853488815
7,16.7086638549727
8,15.6675687511406
8,15.7223250590159
8,15.7091179805844
8,15.797185861454
8,15.3467622659974
8,15.5195315568123
8,15.7424767115423
8,15.7724561324839
8,15.5513542060969
8,15.1709267216486
8,15.7346034418935
8,15.6625918669994
8,15.8028281576898
8,15.5865292537239
9,15.7823519222594
9,16.3326610906753
9,16.1141968706207
9,16.0397494530888
9,16.3348345286549
9,16.1996021886819
9,16.1593427740054
9,16.3935868169626
9,16.1324619286203
9,16.0917993635098
9,16.132838296953
9,16.4189492696549
9,16.4294951480866
9,16.1234842150948
10,15.6201066791764
10,15.9567859213263
10,15.7281305643967
10,15.9513722215941
10,16.2866893350991
10,15.5435105978299
10,16.0157578340586
10,15.7029970783141
10,16.1580023429523
