"Meadow.ID";"Latitude";"Longitude";"Slope";"Size";"Openness"
1;60.8069745606227;36.7785367307961;11.5639276494659;881.123138658033;"Open"
2;59.3011016576172;16.0647189992879;7.21016420754551;970.977700842306;"Closed"
3;57.4013367459216;32.3408264267225;9.78955484352177;954.614576743936;"Closed"
4;61.509293656773;52.1541491570565;11.148811310873;809.56295295244;"Closed"
5;60.2425596768129;14.2992061949481;11.4776459521495;1136.08277929722;"Open"
6;60.1596457991146;23.1554652406332;11.0384143152585;996.8477844623;"Open"
7;61.0897029183573;26.8495257492866;11.9832361142634;898.788314185123;"Open"
8;62.2323433681549;37.7075769615872;9.8989681286097;853.510882962257;"Closed"
9;59.975427074093;36.8844989380604;14.5588874291431;1023.10337377204;"Closed"
10;60.8569800360864;36.6214416004141;10.0997258577071;1033.21543456063;"Closed"
11;60.2002234504676;25.7500543969201;14.7274122088201;1082.40331057852;"Open"
12;59.7089836181128;32.9621021252599;6.44123621144695;1101.1975765569;"Open"
13;59.0251897052126;22.3009270971197;8.94512814340046;992.774515786334;"Open"
14;60.4130159384127;23.1446704217692;9.87924535632141;1110.01903651767;"Closed"
15;59.5299878737935;3.44640305424117;12.209284342414;843.957361435532;"Open"
16;61.4153433336219;16.8042247631012;9.44594799267513;1092.87420867351;"Closed"
17;60.7516756255819;26.6154829043789;8.08359103165161;982.23723668745;"Open"
18;60.5417528918007;46.6970495397659;6.81322073848188;776.150942096362;"Closed"
19;59.0720133822904;36.7139861349894;9.14502764624282;937.705928736165;"Open"
20;60.6775744472708;33.3016689260781;6.6361978838059;1019.84257719359;"Open"
21;59.5290782164736;21.6807244189845;13.3893435340028;946.980012889268;"Closed"
22;60.305631704311;29.1748130399654;12.9028599831489;1055.48610446931;"Open"
23;62.3762685940416;20.640062206778;6.93039962154567;973.165949307797;"Open"
24;60.2955149146356;35.9919317574974;7.81006978422658;1007.7065592328;"Open"
25;59.2231235018725;22.7160322785506;13.3488001455168;933.610306599479;"Open"
26;58.4933862898862;45.8986741364352;8.17287451600301;781.561134204692;"Closed"
27;59.7017811629974;33.2629352117832;11.6729156988684;918.42395607181;"Open"
28;60.9625796813582;27.3669282851133;11.2139774374568;1066.75830428928;"Open"
29;58.7236176999455;20.5868506899648;12.7764709011022;1056.08889824425;"Open"
30;59.6658051343747;28.3711708473997;8.50841867824813;1036.08753708273;"Closed"
