group,size,id
1,7.62797059419824,1
1,6.99391979341126,2
1,8.05778775643544,3
1,10.4227556006633,4
1,10.5762363149974,5
1,6.13168510667505,6
1,8.50562173345023,7
1,12.867595657164,8
1,6.99364660076345,9
1,7.15362286387611,10
1,9.14871348575419,11
1,10.7825843100368,12
1,9.07658797762398,13
1,6.41343327520206,14
1,7.83484677526293,15
1,5.544309371853,16
1,8.61560336777318,17
1,8.90476461914228,18
1,7.90304829914325,19
1,8.16442518646414,20
1,7.86493543217925,21
1,7.81103760870933,22
1,6.912327335088,23
1,7.26521917031754,24
1,6.80670810718466,25
1,7.81026176522631,26
1,9.81890253697356,27
1,7.20652692069728,28
1,5.35513653666413,29
1,10.1061215870014,30
1,8.98057871877667,31
1,7.55726229604604,32
1,9.28422191894536,33
1,6.75371494391775,34
1,11.9613996675845,35
1,8.20778547222076,36
1,10.5676768874774,37
1,6.73243293693465,38
1,6.62210320032421,39
1,7.56881586321873,40
1,9.93049906764241,41
1,5.36830228708181,42
1,7.96488594082637,43
1,5.52310617350589,44
1,7.96355102781628,45
1,8.1085381910709,46
1,8.72443107368721,47
1,5.85662866032272,48
1,6.35649934015925,49
1,9.58340887395837,50
1,8.49603111640009,51
1,8.74716381817698,52
1,5.50043117146878,53
1,8.17175110084979,54
1,6.26170730146519,55
1,7.14952771658177,56
1,10.2241073287575,57
1,6.87170260635356,58
1,10.7459493823076,59
1,6.9320918439146,60
1,7.97045980043065,61
1,7.00786037708911,62
1,7.52137400564126,63
1,7.52497328455238,64
1,8.80281151238914,65
1,8.86628165602898,66
1,7.48226769384192,67
1,8.70822913369569,68
1,8.38380186741581,69
1,6.29160049560745,70
1,6.93956886338419,71
1,10.4660996381668,72
1,8.10309022385804,73
1,7.14262975365184,74
1,11.1043308521899,75
1,5.87625908389363,76
1,9.50175189550841,77
1,8.74008382307019,78
1,6.54256688429695,79
1,8.84196246154957,80
1,8.76503877303869,81
1,6.20233780687569,82
1,8.59762958716883,83
1,8.61846957507714,84
1,11.3626333810241,85
1,7.72015731888832,86
1,8.63082945140658,87
1,5.88572114842968,88
1,10.7136232265344,89
1,6.89376047632778,90
1,5.56567705460845,91
1,6.34502190967711,92
1,9.1550115696082,93
1,8.30254103907132,94
1,8.28214662972384,95
1,7.76773039524844,96
1,9.4074991512058,97
1,8.61729747958945,98
1,7.97094460405834,99
1,9.00291144972459,100
1,10.4451300130607,101
1,7.65416315080808,102
1,5.42548554645345,103
1,7.2779496678473,104
1,7.40017246189206,105
1,7.07871133947149,106
1,8.26443527118176,107
1,7.60203126205145,108
1,7.15345809081551,109
1,5.61835913484605,110
1,7.58643940325356,111
1,6.56936757704522,112
1,7.87854619877783,113
1,9.4096630285925,114
1,7.77560170613437,115
1,10.7759636124911,116
1,6.2166091129142,117
1,7.90918383217245,118
1,7.5409229560457,119
1,6.47122209434512,120
1,6.04560615085728,121
1,8.42609271979926,122
1,7.92715750553661,123
1,7.51910846133219,124
1,10.5449523966306,125
1,9.19998398576936,126
1,4.57590997224165,127
1,8.7674375517806,128
1,6.42539540546715,129
1,7.23841032245704,130
1,9.17724058983193,131
1,6.87623640219094,132
1,5.83668418243302,133
1,7.07151012409066,134
1,8.72364618190272,135
1,8.7671604051869,136
1,10.6977801246569,137
1,6.45709403982251,138
1,6.82908715365807,139
1,8.16850524485432,140
1,8.40892243543534,141
1,8.3573677380485,142
1,8.52504286428615,143
1,7.65556879983294,144
1,10.0347147771554,145
1,5.74444292087973,146
1,6.20438653225551,147
1,6.62272163959187,148
1,8.69654115610711,149
1,9.72332244790156,150
1,8.06696656715707,151
1,7.61624030442768,152
1,8.36631946832899,153
1,6.91509124527912,154
1,11.1092903808337,155
1,8.46063811193237,156
1,7.14705068902252,157
1,6.66412979855216,158
1,7.23116367356216,159
1,9.83567806791263,160
1,5.10240263075947,161
1,5.88900841825987,162
1,8.42947303609509,163
1,9.57663966821211,164
1,8.31567251035997,165
1,4.25154025562813,166
1,8.45124621581914,167
1,6.70684907472161,168
1,6.36100893175649,169
1,7.92681681667984,170
1,8.5293053664182,171
1,9.00558168074496,172
1,7.49444799082095,173
1,8.88756611605564,174
1,10.3458261066387,175
1,8.74980730985422,176
1,5.42183376635181,177
1,8.32831088492392,178
1,10.1487546087628,179
1,8.47971144758901,180
1,7.20909454477328,181
1,7.33217912261725,182
1,8.12430556102312,183
1,5.64712441361939,184
1,9.84409690951599,185
1,6.7705568643684,186
1,8.01354069548303,187
1,7.93365646308702,188
1,10.6548225421739,189
1,9.52880245845645,190
1,8.65034371876362,191
1,9.43939999773158,192
1,7.84753651776299,193
1,8.74366561606105,194
1,7.24947416229055,195
1,7.4923937293538,196
1,8.89696897640341,197
1,8.02407574836181,198
1,7.5876440529061,199
1,9.03946085660681,200
1,5.85925184900308,201
1,9.73739958831113,202
1,7.38230020463099,203
1,6.53733058839582,204
1,7.67494711424695,205
1,8.46400862905493,206
1,8.29799278675428,207
1,7.64571117451301,208
1,5.47528693524163,209
1,8.55900396197732,210
1,7.61665222713849,211
1,7.66726546534748,212
1,7.86584806467484,213
1,9.57411321178839,214
1,6.19813015787939,215
1,6.81167000640849,216
1,8.01453082513986,217
1,9.90796356739021,218
1,6.6777306336877,219
1,11.2889435731449,220
1,7.41915570090188,221
1,6.38217852932417,222
1,9.10106413295366,223
1,5.18314830653199,224
1,8.39920724560532,225
1,8.76914765938179,226
1,7.0707519058521,227
1,9.31877325355324,228
1,8.01490164013974,229
1,8.1282883836243,230
1,7.18538322814635,231
1,10.7425517853765,232
1,8.61754540666143,233
1,8.43130056248073,234
1,9.86922461123552,235
1,7.79199412838486,236
1,4.92198812935706,237
1,6.42818855581186,238
1,4.92047148733938,239
1,8.54064847558976,240
1,7.53909920033024,241
1,7.61277300645387,242
1,7.81440598710883,243
1,6.48970669974789,244
1,6.93985882638856,245
1,9.10583782322057,246
1,7.39633349321946,247
1,9.42588753786512,248
1,9.34113280244987,249
1,6.3904399448723,250
1,6.82717401967225,251
1,9.07250059139832,252
1,5.52688582573347,253
1,6.68122303139118,254
1,6.35032707393423,255
1,7.4372377055443,256
1,8.81454135617654,257
1,10.5226983254506,258
1,8.56251948515335,259
1,8.42333794882848,260
1,9.66478215454676,261
1,8.94801918474098,262
1,7.35947741642897,263
1,7.94394776765309,264
1,4.72435575236159,265
1,8.87948213416037,266
1,9.12668453996092,267
1,8.5900553350957,268
1,4.2362635129242,269
1,9.20233792688335,270
1,10.9305298762987,271
1,5.34136872023165,272
1,7.79364525430865,273
1,9.09489853590904,274
1,6.97603609770375,275
1,10.2158161729807,276
1,9.39530757900066,277
1,5.37092511885578,278
1,7.42661533509916,279
1,8.92204449678298,280
1,6.6993289595661,281
1,6.15360389239312,282
1,7.31206064405808,283
1,7.58207658650153,284
1,9.03975070521789,285
1,7.26296555442121,286
1,9.45066581257005,287
1,10.3227513850782,288
1,7.09909745603716,289
1,8.13065906084998,290
1,9.69431762597782,291
1,6.65775962338483,292
1,9.54944436864533,293
1,8.66442875512022,294
1,7.42058492970826,295
1,9.80398731354195,296
1,7.88290271861086,297
1,9.11118449650161,298
1,8.16726491558142,299
1,8.24805446784839,300
1,8.37097787098972,301
1,7.61250062803404,302
1,5.76617504114525,303
1,4.29938347478272,304
1,8.99569980677492,305
1,9.52182814004028,306
1,7.38268527180829,307
1,11.2441271868872,308
1,11.6363884899399,309
1,8.5844402225465,310
1,9.44861660875191,311
1,6.50723035580513,312
1,5.87870484027177,313
1,9.22286873826555,314
